rwanda,year,quarter,employed,employment_to_population_ratio,labour_force,lf_participation_rate,lu1_unemployment_rate,lu2_unemployment_underemployment_rate,lu3_unemployment_potential_lf_rate,lu4_labour_underutilization_rate,median_monthly_earnings,youth_neet_rate,out_of_labour_force,out_of_lf_inactivity_rate,potential_labour_force,time_related_underemployed,time_underemployment_rate,unemployed,working_age_population
All,2021,Q3,3179124.018924713,41.021456001310575,3943604.1331825256,50.88583599536654,19.385315778155192,43.69666924776929,42.74750084958073,60.01340913043775,26000.0,37.71319787990954,3806301.230545044,49.11416400463346,1609208.5232086182,958743.5402603148,30.15747528416945,764480.1142578125,7749905.36372757
All,2021,Q4,3633131.595502615,46.50115251967821,4768769.031018496,61.036395245636925,23.8140582638647,47.40288357612729,37.3693044187337,56.76113056913827,26000.0,33.02787372526502,3044223.547961473,38.96360475436308,1032111.1313109398,1124896.59627223,30.96217592736576,1135637.4355158806,7812992.578979969
All,2022,Q1,3585650.7928733826,45.54175296029764,4293304.691390991,54.52974451032099,16.482731820469404,40.18942688827316,34.104229444306334,52.808995211593086,26000.0,31.603079201977224,3580021.563747406,45.47025548967901,1148092.780155182,1017800.6515197754,28.38538135232502,707653.8985176086,7873326.255138397
All,2022,Q2,3317267.515346527,41.79420382453021,4309853.410823822,54.29977868004451,23.030618465688452,48.03052140102193,40.77810606092035,60.01356788496536,26000.0,36.23023141803243,3627293.877048493,45.70022131995549,1291567.439983368,1077459.1693611145,32.48032196307693,992585.8954772948,7937147.287872314
All,2022,Q3,3711253.6562436274,46.38614270294965,4531189.751518448,56.63434351205654,18.095382013080496,45.71149378684259,37.16100633421933,58.34868433672308,26000.0,32.89365791705811,3469591.1713747936,43.36565648794346,1374782.7024367135,1251338.42646059,33.71740501637221,819936.0952748175,8000780.922893194
All,2022,Q4,3571236.125681067,44.40129131198832,4718837.607247124,58.66945670342278,24.31957988559669,48.79810908626647,39.355540043667936,58.97074806782899,26000.0,36.02664273851771,3324253.078083549,41.33054329657722,1169970.9141785656,1155102.0416221642,32.34460004802627,1147601.481566035,8043090.685330751
All,2023,Q1,3803942.11794281,47.69086088442458,4596057.267459869,57.62178313002727,17.234666659296053,40.75833552108524,36.13224443186229,54.284819577616965,26000.0,33.18449771412091,3380192.36905098,42.37821686997273,1359909.2200183868,1081161.292295456,28.42212785509347,792115.1495170593,7976249.636510849
All,2023,Q2,3984501.733938217,49.50970201809977,4790320.900510788,59.52246383412967,16.821820151686435,40.99467477960563,33.989758012292135,53.17334662209966,26000.0,33.65044311183286,3257600.156419754,40.47753616587033,1245866.2334194183,1157957.3074913025,29.061533531993124,805819.1665725708,8047921.056930542
All,2023,Q3,3972193.071601868,49.03681726021914,4847069.425182343,59.83718650272221,18.0495940296453,42.52382793828559,37.03389142165727,55.83852394807417,31200.0,33.1907181324535,3253360.605834961,40.16281349727779,1461392.6368484497,1186283.108833313,29.86468903826269,874876.3535804749,8100430.031017303
All,2023,Q4,4074629.1306991577,49.91432255523299,4900205.995121002,60.02766258768374,16.847799158726147,42.065871995121626,34.226609325815296,54.174104881398655,30000.0,31.46471674576948,3263040.3880996704,39.97233741231626,1294744.712047577,1235737.5169830322,30.327607184484897,825576.8644218445,8163246.383220673
All,2024,Q1,4365565.9443359375,53.145010801642464,5013201.611816406,61.02912135744212,12.918604070379974,37.35166498447311,29.853774321464638,49.53521128743332,31200.0,28.421622991983043,3201240.117492676,38.970878642557885,1210320.6120910645,1224878.6035614014,28.05772766187643,647635.6674804688,8214441.729309082
All,2024,Q2,4304439.991333008,52.02636698474679,5173245.951049805,62.52734220795191,16.79421330316782,43.14128930550623,32.58275897225491,53.93039888698685,34666.66796875,28.994632427632418,3100328.086120605,37.47265779204809,1211530.2956695557,1362999.0425109863,31.66495630686885,868805.9597167969,8273574.03717041
All,2024,Q3,4523412.98210144,54.28225469980346,5338680.077758789,64.06569395462071,15.270948694861724,45.451545049606885,34.81115064273728,58.0315020921642,39000.0,29.13118674245647,2994453.848083496,35.93430604537928,1600256.6065063477,1611245.4849395752,35.62012779542936,815267.0956573486,8333133.925842285
All,2024,Q4,4585316.174636841,54.6318181650994,5374510.329986572,64.03468373640113,14.684019694715206,44.25264234921524,31.11296239947152,54.98767864029528,33000.0,27.25841912138465,3018613.5466156006,35.965316263598865,1281772.67237854,1589168.6790008545,34.65777753323014,789194.1553497314,8393123.876602173
All,2025,Q1,4730124.006851196,55.973975611845525,5323551.689529419,62.996308766222334,11.147213689037727,42.23905924768899,28.717556114481628,53.66109281546097,39000.0,23.02251503263149,3127025.4852142334,37.00369123377767,1312197.2396850586,1655190.469543457,34.99253861306912,593427.6826782227,8450577.174743652
All,2025,Q2,4581575.010360718,53.83152435136423,5292396.004318237,62.18336352438968,13.430986520614438,45.28745391536044,32.055975824725685,57.05864714802633,39000.0,24.6421982571202,3218555.646347046,37.81663647561032,1450765.0992126465,1685970.4075164795,36.79892621432251,710820.9939575195,8510951.650665283
All,2025,Q3,4888920.7785720825,57.03841466184021,5643232.372177124,65.83887173794038,13.36665839464684,44.03361452256067,32.97001179414682,56.69766294406464,39000.0,25.59335719804968,2928045.0862808228,34.16112826205961,1650399.790725708,1730607.5957717896,35.398560830786295,754311.5936050415,8571277.458457947
All,2025,Q4,4890198.40511322,56.651764718817184,5536997.042396545,64.14477035668928,11.681397557752264,44.500134702668674,30.7604855423087,56.48953199675776,39000.0,24.88968564151604,3095034.8623199463,35.855229643310714,1525730.7127227783,1817172.505065918,37.15948422799925,646798.6372833252,8632031.904716492
